0,273,25,128,175,881,174,464,617,1216,1617
1,133,546,486,797,753,525,918,788,337,740
2,792,209,798,207,376,515,783,655,3,1475
3,23,15,208,1016,599,1837,988,435,1151,1456
4,134,454,1654,176,1927,22,821,593,2490,866
5,168,635,1575,396,743,198,236,862,1341,758
6,117,711,126,74,1154,191,575,590,83,860
7,1979,206,2214,332,1033,1254,872,1935,91,1331
8,20,1256,1276,357,551,514,479,460,2133,1166
9,0,428,1367,1035,1383,1503,1025,2208,1086,1451
10,900,470,733,2153,452,1301,508,392,1871,122
11,5,199,732,168,769,869,96,1613,480,565
12,1018,737,713,538,2170,208,1693,1,1662,1126
13,515,733,219,59,89,909,547,2036,88,105
14,519,936,1145,639,619,603,1213,1066,431,1109
15,1935,2036,2062,218,192,1678,2378,606,874,905
16,909,246,434,929,482,336,305,1535,41,756
17,847,1008,321,1547,348,1232,1594,974,1753,2175
18,15,482,1216,187,1341,611,798,1316,359,1300
19,218,128,929,112,1150,599,641,122,1232,107
20,86,192,714,881,664,2200,45,683,147,1171
21,711,90,1301,1303,1423,1072,2235,1336,1276,312
22,1562,175,386,635,1009,955,435,448,287,883
23,4,688,603,1280,596,138,745,305,201,1641
24,790,929,651,164,573,524,1655,216,558,872
25,7,352,575,428,0,504,832,542,791,1826
26,839,1283,244,1001,143,756,1652,96,7,1239
27,97,258,143,1042,29,338,14,711,510,110
28,619,586,857,40,112,104,531,407,934,2234
29,770,1163,27,53,346,20,1237,143,1344,1241
30,629,692,1376,142,27,994,2130,361,2337,720
31,134,831,420,221,287,2264,1235,718,819,463
32,5,294,280,558,504,1210,2109,535,973,33
33,438,810,674,323,472,887,1406,91,1327,1051
34,1761,623,2046,218,20,1675,355,2227,1256,814
35,164,336,324,887,1022,1071,1068,1172,1107,881
36,315,84,531,14,474,464,808,406,173,647
37,164,686,244,941,2086,231,1770,810,831,992
38,237,267,380,26,213,2847,2028,467,382,1109
39,117,575,1837,1723,1696,1670,1085,0,222,547
40,167,1118,519,542,324,1613,583,1416,323,120
41,1075,1158,1248,718,326,845,730,325,201,523
42,104,800,1181,521,129,2064,461,192,96,958
43,15,10,864,211,856,1836,1141,1151,1058,321
44,9,42,1196,1460,1313,420,592,213,405,1772
45,1899,1945,1341,290,1357,1428,947,1152,97,1546
46,1098,520,337,535,279,1278,623,317,281,1494
47,866,664,533,1086,1053,850,787,1198,1655,336
48,26,702,163,968,156,515,656,1158,1200,732
49,873,1162,1879,2158,16,256,2133,249,47,2591
50,508,349,149,697,815,463,2059,514,461,292
51,788,1670,349,468,898,683,2058,1716,586,1935
52,92,127,335,1190,176,3,873,138,1251,1098
53,136,2269,1236,721,1727,610,765,2121,2525,49
54,171,643,343,629,1545,414,129,357,693,860
55,68,231,534,1485,2018,2343,741,719,829,1346
56,454,1171,682,219,1387,728,925,7,225,1664
57,1285,58,195,343,769,263,861,32,1662,87
58,170,681,633,985,1394,428,175,1663,41,2911
59,104,538,541,179,350,90,1106,130,488,1259
60,231,1171,2063,1888,380,588,1177,779,1401,901
61,206,797,381,1042,1352,505,795,803,99,2431
62,331,1254,0,930,1880,437,2349,904,416,195
63,332,283,876,937,193,1000,641,596,1687,870
64,217,528,605,243,717,191,1251,98,1181,603
65,96,168,728,41,287,1162,876,21,350,340
66,1675,203,797,82,994,845,13,2300,1488,831
67,167,770,256,1292,831,415,19,20,714,132
68,221,890,2438,2400,122,541,891,338,232,265
69,128,48,237,790,349,84,374,642,79,468
70,317,898,50,214,1171,1,1109,994,307,374
71,529,18,376,323,1232,510,535,1163,308,1243
72,1192,1137,10,517,331,294,728,1223,311,941
73,134,0,276,273,806,1675,53,491,238,1109
74,783,939,163,133,646,31,307,636,1040,2287
75,945,60,2011,59,226,890,267,62,10,252
76,2237,445,145,1177,195,1194,182,825,546,1061
77,417,84,0,18,674,127,44,281,635,597
78,167,231,50,522,213,420,603,327,438,32
79,33,881,567,521,123,1045,126,251,1935,49
80,44,839,26,2030,995,435,273,346,13,1033
81,255,891,315,1058,335,43,179,251,435,711
82,189,1691,1558,259,464,2241,316,979,635,619
83,97,189,743,133,678,198,177,521,1226,1113
84,919,869,1879,545,97,273,2091,935,1484,1173
85,132,46,632,62,635,622,941,1093,386,662
86,78,676,90,1158,321,501,756,2139,951,1703
87,338,665,156,633,194,68,520,39,218,2031
88,134,517,533,890,770,873,633,120,979,1177
89,815,936,508,525,267,480,95,219,405,1258
90,116,726,950,63,135,794,1241,1449,160,563
91,464,599,1066,538,145,363,1396,535,889,467
92,676,385,1850,1172,1724,168,67,1826,2058,1419
93,1111,1808,15,92,324,1743,117,1092,1967,272
94,85,1106,218,520,1150,501,283,729,1276,737
95,280,199,509,642,797,546,425,765,1070,741
96,121,718,2269,1261,1472,2919,123,1801,1495,1295
97,9,244,203,587,839,311,243,21,82,110
98,340,178,949,870,1030,714,311,808,1751,904
99,1226,50,322,533,6,1088,982,10,69,970
100,195,738,762,1723,222,1439,1843,376,2127,1228
101,5,732,999,29,171,1466,795,16,1879,1110
102,936,1396,713,104,1109,51,526,164,1401,1904
103,923,1690,532,334,493,40,944,27,288,491
104,528,860,51,338,104,1071,171,839,145,737
105,44,53,22,87,400,29,716,140,96,1182
106,756,428,994,13,1612,68,2523,1644,2483,52
107,127,132,482,910,1080,664,1015,1092,651,1231
108,45,386,1149,431,82,12,1126,617,1575,1693
109,532,316,2058,1328,1929,90,505,776,1005,935
110,280,900,5,15,206,1345,733,446,454,737
111,1529,177,558,25,409,1034,984,589,39,1023
112,60,98,277,619,788,656,468,514,575,434
113,34,808,294,864,1021,192,467,1095,166,577
114,327,431,322,1813,283,288,1130,229,500,1989
115,251,364,1018,354,1524,30,380,34,464,1650
116,1259,2501,1081,573,1978,1144,566,671,2775,1069
117,33,641,836,730,567,136,242,143,141,1270
118,16,48,1256,937,656,1165,127,877,103,418
119,256,27,219,585,1235,2232,215,885,288,873
120,790,40,1285,1251,311,84,1119,1290,317,532
121,217,202,1041,216,975,300,467,122,1022,728
122,1176,663,85,470,1431,644,1181,641,1961,1283
123,92,44,132,831,546,869,788,29,516,331
124,67,896,467,2250,420,432,718,493,1578,951
125,723,47,206,600,1651,594,247,1449,385,1913
126,325,651,1270,740,1254,2158,221,90,1231,1168
127,603,134,112,739,116,1710,47,1466,842,960
128,160,376,611,1018,1241,925,1723,73,1198,283
129,195,929,188,591,982,1007,1715,175,1665,1016
130,1584,176,62,2230,1542,353,726,2156,152,1624
131,814,505,369,941,597,462,1596,237,209,558
132,124,949,1592,556,186,2438,466,992,1364,1485
133,935,800,1341,982,482,2237,793,20,1097,561
134,3,97,5,831,51,452,30,1118,738,940
135,27,259,160,417,726,1054,531,1200,1351,645
136,1075,406,98,495,444,799,258,2235,825,357
137,1488,305,60,15,153,2805,1195,1254,85,204
138,676,1285,623,682,135,1456,929,162,2556,1963
139,1292,47,127,218,1522,756,2039,330,1650,285
140,136,47,183,1297,431,1394,505,1922,1454,326
141,524,529,831,509,500,745,1650,931,147,2008
142,97,23,27,900,533,168,206,528,217,686
143,263,537,354,770,1092,905,1298,122,275,1097
144,1157,1855,67,999,2139,899,2061,1650,336,2805
145,275,215,59,767,412,647,832,1518,2633,163
146,528,86,465,57,1939,349,1280,662,1067,149
147,566,596,296,565,1539,582,162,407,1585,746
148,873,1058,1651,876,1061,342,1405,1023,929,1584
149,280,417,338,1023,625,1488,693,2,1352,551
150,925,571,1212,600,806,795,349,909,1254,2400
151,669,41,290,534,790,1061,305,1712,359,740
152,237,885,327,516,760,551,1932,416,1864,2280
153,541,350,3,167,1232,218,256,611,1200,84
154,396,1218,772,45,1034,123,438,259,474,788
155,312,5,514,354,1848,106,372,1308,2235,1915
156,1331,1070,321,828,1226,661,1345,1583,735,1092
157,559,696,728,1394,795,648,183,2233,17,2702
158,237,876,898,1168,2215,452,272,256,714,931
159,434,315,41,43,221,538,263,890,392,275
